Size,Throughput
16384,236711.80498468192
18432,238353.06979808802
20480,239910.7192852552
22528,240842.63689542736
24576,247734.93422898275
26624,247218.9777932531
28672,247897.82648204014
30720,243607.6107113281
32768,244410.5638938637
36864,126076.37804870341
40960,125061.19391325141
45056,124816.43605914182
49152,124693.8164722234
53248,122455.42598727856
57344,125357.48525711811
61440,125080.46939291166
65536,125689.0387271075
73728,125147.37809844376
81920,123348.29154639623
90112,120444.33459590752
98304,122644.17646738562
106496,122568.90451492557
114688,122741.07443362345
122880,122421.44193748383
131072,121617.42358618983
147456,122888.14985454635
163840,122079.9858318096
180224,118936.08585501206
196608,121912.42675672936
212992,121254.53672349178
229376,122139.7474300799
245760,117947.81684048308
262144,119846.83756193994
294912,120827.27936452442
327680,118939.04177914628
360448,121577.17759931905
393216,122587.12877752195
425984,118943.90378731156
458752,118022.22646184484
491520,121187.32289968884
524288,107232.95573096986
589824,102283.98493562329
655360,95945.60516653123
720896,99830.55535892819
786432,91400.12525484007
851968,96815.53738045695
917504,101001.61509244647
983040,95820.26786115787
1048576,98561.58979225007
1179648,96203.73376473764
1310720,99957.63884275235
1441792,98708.21800433264
1572864,95148.32760951626
1703936,95787.04156890254
1835008,94296.85189501313
1966080,91185.76075343283
2097152,96691.40456480012
2359296,99879.71254422063
2621440,95232.2742351949
2883584,94903.23468943208
3145728,95874.60993385853
3407872,91444.5538965476
3670016,100068.95824269934
3932160,94114.82336007693
4194304,93332.212445623
4718592,99998.85842341154
5242880,89377.39965667711
5767168,90658.47790419204
6291456,93575.46145327353
6815744,84057.54439635875
7340032,96253.4880645926
7864320,103218.75924654846
8388608,100099.92698328136
9437184,102511.83008276243
10485760,101544.08132304021
11534336,101839.70210313803
12582912,100279.23030871175
13631488,102144.0002829872
14680064,98592.88282163959
15728640,88542.18696165667
16777216,73185.01738852121
18874368,55784.89337977955
20971520,53552.728968606905
23068672,50772.64309394114
25165824,48022.90350718112
27262976,46042.957148325346
29360128,44417.19131526268
31457280,42621.70361556124
33554432,41474.432613451136
37748736,40046.13691719193
41943040,38635.232852464556
46137344,37741.03530987219
50331648,36671.48464490361
54525952,36306.70705540301
58720256,35815.61690808093
62914560,35426.46840187792
67108864,35222.05053099657
75497472,34708.65571536841
83886080,34395.86664263449
92274688,34058.60570258685
100663296,33934.46380356564
109051904,33699.18722359775
117440512,33519.91069632222
125829120,33346.219719522785
